prev_close,iep,change,final_price,low_52,high_52,high
26595.50,26455.00,-140.50,26455.00,15410.00,29090.00,27118.25
27695.25,27450.00,-245.25,27450.00,15410.00,29090.00,28850
28676.60,28300.50,-376.10,28300.50,15410.00,29090.00,28894.85
28653.25,28653.25,0.00,28653.25,15410.00,28840.00,29090
27965.85,28184.95,219.10,28184.95,15410.00,28599.10,28840
28165.80,28205.00,39.20,28250.50,15410.00,28599.10,28596
28293.75,28268.00,-25.75,28268.00,15410.00,28599.10,28500
28344.20,28200.00,-144.20,28200.00,15410.00,28599.10,28475
26722.85,26907.15,184.30,26907.15,15410.00,27329.25,28287.5
27091.00,27112.50,21.50,27112.50,15410.00,27329.25,27286.95
25994.40,26000.00,5.60,26000.00,15410.00,26650.00,27329.25
26432.55,26400.00,-32.55,26400.00,15410.00,26650.00,26579
23694.30,24050.00,794.35,24050.00,15410.00,25979.50,23399.55
23694.30,24050.00,355.70,24050.00,15410.00,25979.50,24050
22773.35,23100.00,326.65,23100.00,15410.00,25979.50,24690.45
25369.10,25585.00,215.90,25585.00,15410.00,25979.50,25600
23106.30,23250.00,143.70,23250.00,15410.00,25979.50,23294.55
24374.50,24470.00,95.50,24470.00,15410.00,25979.50,24470
23979.95,24075.00,95.05,24075.00,15410.00,25979.50,24299.8
23719.00,23799.00,80.00,23799.00,15410.00,25979.50,24142
24726.40,24802.00,75.60,24802.00,15410.00,25979.50,24913.85
24543.60,24543.60,0.00,24543.60,15410.00,25979.50,26650
25813.40,25800.00,-13.40,25800.00,15410.00,25979.50,25950
24413.80,24400.00,-13.80,24400.00,15410.00,25979.50,24400
25569.30,25549.00,-20.30,25549.00,15410.00,25979.50,25890
23846.90,23801.00,-45.90,23801.00,15410.00,25979.50,24474.85
22820.20,22769.00,-51.20,22919.00,15410.00,25979.50,23189.85
24855.60,24720.00,-135.60,24720.00,15410.00,25979.50,24844.7
23894.40,24190.00,295.60,24190.00,15410.00,25655.50,24259.95
23950.30,24140.00,189.70,24140.00,15410.00,25655.50,24225
23895.50,24084.00,188.50,24084.00,15410.00,25655.50,24947.4
23826.75,24000.00,173.25,24000.00,15410.00,25655.50,24109.95
24034.20,24199.00,164.80,24199.00,15410.00,25655.50,24199
23715.55,23875.00,159.45,23875.00,15410.00,25655.50,23906.75
24635.70,24785.00,149.30,24785.00,15410.00,25655.50,25040.6
24259.65,24389.00,129.35,24389.00,15410.00,25655.50,24488.9
24259.10,24383.70,124.60,24383.70,15410.00,25655.50,24899
24775.75,24890.00,114.25,24890.00,15410.00,25655.50,24949.2
24912.85,25000.00,87.15,25000.00,15410.00,25655.50,25089
24905.15,24951.00,45.85,24951.00,15410.00,25655.50,25335
24013.20,24050.00,36.80,24050.00,15410.00,25655.50,24276.5
23839.65,23872.30,32.65,23872.30,15410.00,25655.50,24701.6
23722.20,23750.00,27.80,23750.00,15410.00,25655.50,24325
23758.10,23780.00,21.90,23780.00,15410.00,25655.50,23958
23805.00,23810.00,5.00,23810.00,15410.00,25655.50,23986.7
23916.70,23916.70,0.00,23916.70,15410.00,25655.50,24240
23717.50,23717.50,0.00,23717.50,15410.00,25655.50,24070.25
24420.70,24420.70,0.00,24420.70,15410.00,25655.50,24499.95
24954.15,24950.00,-4.15,24831.65,15410.00,25655.50,25289.95
24510.40,24500.00,-10.40,24500.00,15410.00,25655.50,24732.05
24574.40,24550.00,-24.40,24550.00,15410.00,25655.50,24550
25002.15,24960.00,-42.15,24960.00,15410.00,25655.50,25979.5
24908.40,24800.00,-108.40,24800.00,15410.00,25655.50,25043.7
