"SYMBOL 
","PREV. CLOSE 
","IEP  PRICE 
","CHNG 
","%CHNG 
","FINAL PRICE 
","FINAL QUANTITY 
",VALUE ,FFM CAP ,"NM 52W H 
","NM 52W L 
",Date
DIVISLAB,"3,378.30","3,398.95",20.65,0.61,"3,398.95",594,"2,018,976.30","430,479,601,830.72","3,914.95","1,631.05",18-Mar-2021
M&M,836.95,842.00,5.05,0.6,842.00,8387,"7,061,854.00","801,177,299,769.62",952.05,245.40,18-Mar-2021
ONGC,109.35,110.00,0.65,0.59,110.00,60754,"6,682,940.00","398,939,524,041.07",122.35,57.50,18-Mar-2021
HINDUNILVR,"2,226.30","2,238.00",11.7,0.53,"2,238.00",5268,"11,789,784.00","1,987,710,494,392.47","2,614.30","1,757.30",18-Mar-2021
GAIL,138.40,139.10,0.7,0.51,139.10,37241,"5,180,223.10","255,923,490,044.30",157.95,65.60,18-Mar-2021
CIPLA,772.15,776.00,3.85,0.5,776.00,2209,"1,714,184.00","392,299,334,838.90",878.90,362.90,18-Mar-2021
INFY,"1,387.00","1,393.75",6.75,0.49,"1,393.75",27369,"38,145,543.75","5,139,933,019,534.77","1,406.00",509.25,18-Mar-2021
SUNPHARMA,584.75,587.40,2.65,0.45,587.40,6190,"3,636,006.00","631,355,005,668.38",654.40,312.00,18-Mar-2021
TCS,"3,112.95","3,125.95",13.0,0.42,"3,125.95",12522,"39,143,145.90","3,270,676,071,751.96","3,339.80","1,546.75",18-Mar-2021
BRITANNIA,"3,467.90","3,480.00",12.1,0.35,"3,480.00",890,"3,097,200.00","409,300,510,212.22","4,010.00","2,100.00",18-Mar-2021
DRREDDY,"4,355.85","4,370.00",14.15,0.32,"4,370.00",1799,"7,861,630.00","528,789,843,462.38","5,512.65","2,495.05",18-Mar-2021
POWERGRID,220.45,221.00,0.55,0.25,221.00,11871,"2,623,491.00","565,118,929,571.78",238.30,122.15,18-Mar-2021
NESTLEIND,"16,455.75","16,467.90",12.15,0.07,"16,467.90",246,"4,051,103.40","587,039,379,869.79","18,844.00","12,200.00",18-Mar-2021
GAIL,135.10,135.95,0.85,0.63,135.95,100115,"13,610,634.25","249,821,268,099.61",157.95,65.60,19-Mar-2021
ITC,217.65,219.00,1.35,0.62,219.00,232224,"50,857,056.00","1,901,515,755,935.39",239.20,139.00,19-Mar-2021
POWERGRID,221.05,221.90,0.85,0.38,221.90,18802,"4,172,163.80","566,657,016,928.30",238.30,122.15,19-Mar-2021
HCLTECH,947.75,950.00,2.25,0.24,950.00,17550,"16,672,500.00","1,028,750,437,893.60","1,067.00",375.25,19-Mar-2021
BHARTIARTL,527.20,528.00,0.8,0.15,528.00,54535,"28,794,480.00","1,265,514,728,524.64",623.00,361.75,19-Mar-2021
NESTLEIND,"16,201.25","16,200.00",-1.25,-0.01,"16,200.00",153,"2,478,600.00","577,960,393,972.65","18,844.00","12,200.00",19-Mar-2021
DIVISLAB,"3,272.90","3,272.00",-0.9,-0.03,"3,272.00",1111,"3,635,192.00","417,049,015,431.36","3,914.95","1,631.05",19-Mar-2021
DRREDDY,"4,212.75","4,210.00",-2.75,-0.07,"4,210.00",3662,"15,417,020.00","511,417,843,370.67","5,512.65","2,495.05",19-Mar-2021
HDFCLIFE,680.85,679.95,-0.9,-0.13,679.95,8467,"5,757,136.65","536,355,215,656.01",746.00,340.00,19-Mar-2021
